% data file: 'test.out.20221202.062743.scl'    250  nScan 
% CHANNEL     MINIMUM      MAXIMUM     RMS 
        0   -5.428e-03    1.164e-02   1.826e-03 
        1   -5.442e-03    9.694e-03   1.931e-03 
        2   -5.732e-03    1.092e-02   1.952e-03 
        3   -6.263e-03    1.072e-02   1.827e-03 
        4   -1.578e-01    2.703e-01   5.113e-02 
        5   -2.785e-01    1.787e-01   9.212e-02 
        6   -2.269e-01    1.957e-01   1.208e-01 
        7   -3.453e-01    2.269e-01   1.482e-01 
  intg  0   -8.527e-04    1.310e-04   5.071e-04 
  diff  1   -1.426e-01    1.768e-01   6.471e-02 
%_______________________________________________
% data file: 'testData/test.out.20221202.064424.scl'    250  nScan 
% CHANNEL     MINIMUM      MAXIMUM     RMS 
        0   -7.238e-03    5.821e-03   1.949e-03 
        1   -6.491e-03    7.523e-03   2.192e-03 
        2   -4.403e-03    6.763e-03   2.012e-03 
        3   -4.836e-03    6.032e-03   2.312e-03 
        4   -1.326e-01    1.772e-01   6.341e-02 
        5   -1.575e-01    1.836e-01   1.264e-01 
        6   -9.074e-02    1.822e-01   1.236e-01 
        7   -1.151e-01    2.354e-01   1.514e-01 
  intg  0   -7.090e-03    1.692e-04   5.094e-03 
  diff  1   -6.653e-02    7.065e-02   2.273e-02 
%_______________________________________________
